GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,AuditDataSetDto,29,41,4,0,4,8,3,4,1,4
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,PageInfoDto,131,24,14,0,25,10,14,7,7,7
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,CustomerPartialRequestDto,83,0,8,0,21,0,12,0,8,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SourceSystemsResponseDto,101,0,10,0,26,0,14,0,9,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,NullableBooleanValueDto,9,57,1,3,3,9,3,4,2,3
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,LocalizedCustomerStateDto,121,0,12,0,28,0,17,0,11,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,LocalizedErrorCodeDto,121,0,12,0,28,0,17,0,11,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,ErrorDto,134,21,14,0,26,9,15,6,8,6
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SearchByOperationDto,70,0,4,0,12,0,7,0,5,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SearchCustomersByDto,173,0,16,0,40,0,23,0,15,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,UserDto,131,24,14,0,25,10,14,7,7,7
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,CustomerTypeDto,33,48,4,0,5,8,4,3,2,3
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SearchAuditsByDto,173,0,16,0,40,0,23,0,15,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,AuditsResponseDto,119,20,14,0,25,8,14,5,7,5
